StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,gender,age,education,PROLIFIC_PID,counter,id,convergence,stimulus_variant,accuracy,competence,convergence_categorical,Submission id,Status.y,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2023-03-16 15:35:50,2023-03-16 15:37:41,0,82.19.231.94,100,110,1,2023-03-16 15:37:41,R_1N3JViGp1GrtMQE,NA,NA,NA,NA,51.6,-0.2167,anonymous,EN,1,i pay attention,NA,male,20,2,63e51c38b573cd46809e1d72,8,1,0,a,10,1,opposing majority,6413294233f7810799254396,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:42Z,NA,2023-03-16T14:37:43Z,114,5A34BA6B,80,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2023-03-16 15:35:50,2023-03-16 15:37:41,0,82.19.231.94,100,110,1,2023-03-16 15:37:41,R_1N3JViGp1GrtMQE,NA,NA,NA,NA,51.6,-0.2167,anonymous,EN,1,i pay attention,NA,male,20,2,63e51c38b573cd46809e1d72,8,1,0,b,33,5,opposing majority,6413294233f7810799254396,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:42Z,NA,2023-03-16T14:37:43Z,114,5A34BA6B,80,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2023-03-16 15:35:50,2023-03-16 15:37:41,0,82.19.231.94,100,110,1,2023-03-16 15:37:41,R_1N3JViGp1GrtMQE,NA,NA,NA,NA,51.6,-0.2167,anonymous,EN,1,i pay attention,NA,male,20,2,63e51c38b573cd46809e1d72,8,1,1,a,33,4,divergence,6413294233f7810799254396,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:42Z,NA,2023-03-16T14:37:43Z,114,5A34BA6B,80,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2023-03-16 15:35:50,2023-03-16 15:37:41,0,82.19.231.94,100,110,1,2023-03-16 15:37:41,R_1N3JViGp1GrtMQE,NA,NA,NA,NA,51.6,-0.2167,anonymous,EN,1,i pay attention,NA,male,20,2,63e51c38b573cd46809e1d72,8,1,1,b,52,4,divergence,6413294233f7810799254396,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:42Z,NA,2023-03-16T14:37:43Z,114,5A34BA6B,80,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2023-03-16 15:35:50,2023-03-16 15:37:41,0,82.19.231.94,100,110,1,2023-03-16 15:37:41,R_1N3JViGp1GrtMQE,NA,NA,NA,NA,51.6,-0.2167,anonymous,EN,1,i pay attention,NA,male,20,2,63e51c38b573cd46809e1d72,8,1,2,a,66,5,majority,6413294233f7810799254396,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:42Z,NA,2023-03-16T14:37:43Z,114,5A34BA6B,80,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2023-03-16 15:35:50,2023-03-16 15:37:41,0,82.19.231.94,100,110,1,2023-03-16 15:37:41,R_1N3JViGp1GrtMQE,NA,NA,NA,NA,51.6,-0.2167,anonymous,EN,1,i pay attention,NA,male,20,2,63e51c38b573cd46809e1d72,8,1,2,b,74,7,majority,6413294233f7810799254396,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:42Z,NA,2023-03-16T14:37:43Z,114,5A34BA6B,80,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2023-03-16 15:35:50,2023-03-16 15:37:41,0,82.19.231.94,100,110,1,2023-03-16 15:37:41,R_1N3JViGp1GrtMQE,NA,NA,NA,NA,51.6,-0.2167,anonymous,EN,1,i pay attention,NA,male,20,2,63e51c38b573cd46809e1d72,8,1,3,a,100,7,consensus,6413294233f7810799254396,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:42Z,NA,2023-03-16T14:37:43Z,114,5A34BA6B,80,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2023-03-16 15:35:50,2023-03-16 15:37:41,0,82.19.231.94,100,110,1,2023-03-16 15:37:41,R_1N3JViGp1GrtMQE,NA,NA,NA,NA,51.6,-0.2167,anonymous,EN,1,i pay attention,NA,male,20,2,63e51c38b573cd46809e1d72,8,1,3,b,100,7,consensus,6413294233f7810799254396,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:42Z,NA,2023-03-16T14:37:43Z,114,5A34BA6B,80,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2023-03-16 15:35:53,2023-03-16 15:37:54,0,109.148.56.125,100,120,1,2023-03-16 15:37:55,R_Ow1qwDHcCdvzQkx,NA,NA,NA,NA,52.5674,-2.0333,anonymous,EN,1,I pay attention,NA,female,33,8,5cf0220c7211ab00169e801a,8,2,0,a,21,4,opposing majority,64132942b179758f37ed175e,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:59Z,NA,2023-03-16T14:37:59Z,130,5A34BA6B,597,33,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
2023-03-16 15:35:53,2023-03-16 15:37:54,0,109.148.56.125,100,120,1,2023-03-16 15:37:55,R_Ow1qwDHcCdvzQkx,NA,NA,NA,NA,52.5674,-2.0333,anonymous,EN,1,I pay attention,NA,female,33,8,5cf0220c7211ab00169e801a,8,2,0,b,8,4,opposing majority,64132942b179758f37ed175e,AWAITING REVIEW,2023-03-16T14:35:49Z,2023-03-16T14:37:59Z,NA,2023-03-16T14:37:59Z,130,5A34BA6B,597,33,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
