StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,education,PROLIFIC_PID,treatment,id,discipline,clear,surprise,know,learn,knowledge1,knowledge2,knowledge3,knowledge4,knowledge5,impressed,competence,trust,n_correct,knowledge_avg,Submission id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,gender,age,outcome,value
2024-06-07 18:36:17,2024-06-07 18:40:29,0,86.166.201.251,100,251,1,2024-06-07 18:40:29,R_2YywX7FehBKXOFj,NA,NA,NA,NA,51.3975,-0.3507,anonymous,EN,1,I pay attention,NA,5,56e87c23eefcff000596f0c1,distraction,1,entom,2,4,4,3,FALSE,FALSE,TRUE,TRUE,FALSE,4,4,4,2,0.4,666336f7aa1f0d758100661c,AWAITING REVIEW,Not Applicable,2024-06-07T16:36:13Z,2024-06-07T16:40:31Z,NA,2024-06-07T16:42:07Z,258,CR9UHRS6,2953,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,female,57,knowledge,-0.9500868112555245
2024-06-07 18:36:17,2024-06-07 18:40:29,0,86.166.201.251,100,251,1,2024-06-07 18:40:29,R_2YywX7FehBKXOFj,NA,NA,NA,NA,51.3975,-0.3507,anonymous,EN,1,I pay attention,NA,5,56e87c23eefcff000596f0c1,distraction,1,entom,2,4,4,3,FALSE,FALSE,TRUE,TRUE,FALSE,4,4,4,2,0.4,666336f7aa1f0d758100661c,AWAITING REVIEW,Not Applicable,2024-06-07T16:36:13Z,2024-06-07T16:40:31Z,NA,2024-06-07T16:42:07Z,258,CR9UHRS6,2953,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,female,57,trust,-0.19008012051348197
2024-06-07 18:36:17,2024-06-07 18:40:29,0,86.166.201.251,100,251,1,2024-06-07 18:40:29,R_2YywX7FehBKXOFj,NA,NA,NA,NA,51.3975,-0.3507,anonymous,EN,1,I pay attention,NA,5,56e87c23eefcff000596f0c1,distraction,1,entom,2,4,4,3,FALSE,FALSE,TRUE,TRUE,FALSE,4,4,4,2,0.4,666336f7aa1f0d758100661c,AWAITING REVIEW,Not Applicable,2024-06-07T16:36:13Z,2024-06-07T16:40:31Z,NA,2024-06-07T16:42:07Z,258,CR9UHRS6,2953,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,female,57,impressiveness,-0.25638452492661
2024-06-07 18:36:17,2024-06-07 18:40:29,0,86.166.201.251,100,251,1,2024-06-07 18:40:29,R_2YywX7FehBKXOFj,NA,NA,NA,NA,51.3975,-0.3507,anonymous,EN,1,I pay attention,NA,5,56e87c23eefcff000596f0c1,distraction,1,entom,2,4,4,3,FALSE,FALSE,TRUE,TRUE,FALSE,4,4,4,2,0.4,666336f7aa1f0d758100661c,AWAITING REVIEW,Not Applicable,2024-06-07T16:36:13Z,2024-06-07T16:40:31Z,NA,2024-06-07T16:42:07Z,258,CR9UHRS6,2953,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,female,57,competence,-0.9683195767626569
2024-06-07 18:39:33,2024-06-07 18:41:34,0,167.98.155.151,100,121,1,2024-06-07 18:41:35,R_2PpUwuWAyGNDL3S,NA,NA,NA,NA,51.5428,-0.1978,anonymous,EN,1,i pay attention,NA,5,63d79d9bdcff357d2f18fff0,distraction,2,archeo,4,5,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,4,5,5,1,0.2,666337bea93ec63c307271ae,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:30Z,2024-06-07T16:41:37Z,NA,2024-06-07T16:42:24Z,128,CR9UHRS6,1132,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month,male,31,knowledge,-1.6556659872614656
2024-06-07 18:39:33,2024-06-07 18:41:34,0,167.98.155.151,100,121,1,2024-06-07 18:41:35,R_2PpUwuWAyGNDL3S,NA,NA,NA,NA,51.5428,-0.1978,anonymous,EN,1,i pay attention,NA,5,63d79d9bdcff357d2f18fff0,distraction,2,archeo,4,5,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,4,5,5,1,0.2,666337bea93ec63c307271ae,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:30Z,2024-06-07T16:41:37Z,NA,2024-06-07T16:42:24Z,128,CR9UHRS6,1132,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month,male,31,trust,1.232000781105905
2024-06-07 18:39:33,2024-06-07 18:41:34,0,167.98.155.151,100,121,1,2024-06-07 18:41:35,R_2PpUwuWAyGNDL3S,NA,NA,NA,NA,51.5428,-0.1978,anonymous,EN,1,i pay attention,NA,5,63d79d9bdcff357d2f18fff0,distraction,2,archeo,4,5,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,4,5,5,1,0.2,666337bea93ec63c307271ae,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:30Z,2024-06-07T16:41:37Z,NA,2024-06-07T16:42:24Z,128,CR9UHRS6,1132,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month,male,31,impressiveness,-0.25638452492661
2024-06-07 18:39:33,2024-06-07 18:41:34,0,167.98.155.151,100,121,1,2024-06-07 18:41:35,R_2PpUwuWAyGNDL3S,NA,NA,NA,NA,51.5428,-0.1978,anonymous,EN,1,i pay attention,NA,5,63d79d9bdcff357d2f18fff0,distraction,2,archeo,4,5,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,4,5,5,1,0.2,666337bea93ec63c307271ae,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:30Z,2024-06-07T16:41:37Z,NA,2024-06-07T16:42:24Z,128,CR9UHRS6,1132,31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month,male,31,competence,0.7781139456128505
2024-06-07 18:39:09,2024-06-07 18:42:11,0,81.79.14.170,100,181,1,2024-06-07 18:42:12,R_2AFJObkKh5wr9UL,NA,NA,NA,NA,51.4805,-0.0113,anonymous,EN,1,I pay attention,NA,5,6093bbe2d2c5537241164571,control,3,entom,5,4,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,4,5,4,5,1,6663378b2a9b76cf09442961,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:04Z,2024-06-07T16:42:14Z,NA,2024-06-07T16:42:41Z,191,CR9UHRS6,684,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,male,54,knowledge,1.1666507167622988
2024-06-07 18:39:09,2024-06-07 18:42:11,0,81.79.14.170,100,181,1,2024-06-07 18:42:12,R_2AFJObkKh5wr9UL,NA,NA,NA,NA,51.4805,-0.0113,anonymous,EN,1,I pay attention,NA,5,6093bbe2d2c5537241164571,control,3,entom,5,4,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,4,5,4,5,1,6663378b2a9b76cf09442961,AWAITING REVIEW,Not Applicable,2024-06-07T16:39:04Z,2024-06-07T16:42:14Z,NA,2024-06-07T16:42:41Z,191,CR9UHRS6,684,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,male,54,trust,-0.19008012051348197
