StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,gender,age,education,PROLIFIC_PID,labels,id,discipline,impressiveness,learn,impressed,competence,trust
2024-02-07 17:35:52,2024-02-07 17:37:11,0,51.52.134.194,100,79,1,2024-02-07 17:37:12,R_2MlqXV5KHYFiVjT,NA,NA,NA,NA,51.5518,-0.1345,anonymous,EN,1,i pay attention,NA,1,43,5,5ec135213d32b40417fd9ea3,nolabels,1,archeo,imp,3,3,3,4
2024-02-07 17:35:52,2024-02-07 17:37:11,0,51.52.134.194,100,79,1,2024-02-07 17:37:12,R_2MlqXV5KHYFiVjT,NA,NA,NA,NA,51.5518,-0.1345,anonymous,EN,1,i pay attention,NA,1,43,5,5ec135213d32b40417fd9ea3,nolabels,1,ants,basic,4,4,3,3
2024-02-07 17:35:27,2024-02-07 17:37:26,0,12.132.70.208,100,119,1,2024-02-07 17:37:27,R_1nvpzrPQ0Zb44ed,NA,NA,NA,NA,35.1179,-84.8487,anonymous,EN,1,I pay attention,NA,1,38,8,5ec9112305ac273ed882f22a,nolabels,2,archeo,basic,3,3,5,5
2024-02-07 17:35:27,2024-02-07 17:37:26,0,12.132.70.208,100,119,1,2024-02-07 17:37:27,R_1nvpzrPQ0Zb44ed,NA,NA,NA,NA,35.1179,-84.8487,anonymous,EN,1,I pay attention,NA,1,38,8,5ec9112305ac273ed882f22a,nolabels,2,ants,imp,5,5,5,5
2024-02-07 17:35:38,2024-02-07 17:37:55,0,82.40.78.111,100,137,1,2024-02-07 17:37:56,R_2oHeh0Z02W6daDH,NA,NA,NA,NA,53.3972,-2.897,anonymous,EN,1,I pay attention,NA,1,40,3,5ade558c066c510001d43615,labels,3,archeo,basic,3,4,5,5
2024-02-07 17:35:38,2024-02-07 17:37:55,0,82.40.78.111,100,137,1,2024-02-07 17:37:56,R_2oHeh0Z02W6daDH,NA,NA,NA,NA,53.3972,-2.897,anonymous,EN,1,I pay attention,NA,1,40,3,5ade558c066c510001d43615,labels,3,ants,imp,4,4,4,4
2024-02-07 17:35:43,2024-02-07 17:38:01,0,71.163.113.7,100,137,1,2024-02-07 17:38:01,R_5SizggX4uCIYJeZ,NA,NA,NA,NA,38.9206,-76.8787,anonymous,EN,1,I pay attention,NA,1,27,5,5dfdc45e617219a8e2e05c26,nolabels,4,archeo,basic,1,1,5,4
2024-02-07 17:35:43,2024-02-07 17:38:01,0,71.163.113.7,100,137,1,2024-02-07 17:38:01,R_5SizggX4uCIYJeZ,NA,NA,NA,NA,38.9206,-76.8787,anonymous,EN,1,I pay attention,NA,1,27,5,5dfdc45e617219a8e2e05c26,nolabels,4,ants,imp,5,4,5,5
2024-02-07 17:35:59,2024-02-07 17:38:19,0,86.5.110.47,100,139,1,2024-02-07 17:38:19,R_6dHAN6WRF4xhrGx,NA,NA,NA,NA,54.9001,-1.4211,anonymous,EN,1,I pay attention,NA,2,28,3,5efdb4266a255121c1bcc531,nolabels,5,archeo,basic,4,3,3,5
2024-02-07 17:35:59,2024-02-07 17:38:19,0,86.5.110.47,100,139,1,2024-02-07 17:38:19,R_6dHAN6WRF4xhrGx,NA,NA,NA,NA,54.9001,-1.4211,anonymous,EN,1,I pay attention,NA,2,28,3,5efdb4266a255121c1bcc531,nolabels,5,ants,imp,4,4,5,5
2024-02-07 17:34:59,2024-02-07 17:38:20,0,68.98.85.129,100,201,1,2024-02-07 17:38:20,R_3H5Z5U7cW7M7CGA,NA,NA,NA,NA,33.6069,-112.2822,anonymous,EN,1,I pay attention,NA,1,23,5,658e66f34a68a13ce2c6ab37,nolabels,6,archeo,imp,5,5,5,4
2024-02-07 17:34:59,2024-02-07 17:38:20,0,68.98.85.129,100,201,1,2024-02-07 17:38:20,R_3H5Z5U7cW7M7CGA,NA,NA,NA,NA,33.6069,-112.2822,anonymous,EN,1,I pay attention,NA,1,23,5,658e66f34a68a13ce2c6ab37,nolabels,6,ants,basic,5,5,4,4
2024-02-07 17:35:50,2024-02-07 17:38:58,0,77.100.13.14,100,188,1,2024-02-07 17:38:59,R_1Rwk3Es1q2eZ7jk,NA,NA,NA,NA,51.6449,-0.043,anonymous,EN,1,i pay attention,NA,1,38,2,5fd8ea198512a801831f6b85,nolabels,7,archeo,basic,3,3,4,3
2024-02-07 17:35:50,2024-02-07 17:38:58,0,77.100.13.14,100,188,1,2024-02-07 17:38:59,R_1Rwk3Es1q2eZ7jk,NA,NA,NA,NA,51.6449,-0.043,anonymous,EN,1,i pay attention,NA,1,38,2,5fd8ea198512a801831f6b85,nolabels,7,ants,imp,3,2,4,3
2024-02-07 17:35:53,2024-02-07 17:38:58,0,109.155.8.1,100,185,1,2024-02-07 17:38:59,R_4LGRBO4uJ3VCbxn,NA,NA,NA,NA,54.7699,-1.559,anonymous,EN,1,I pay attention,NA,1,59,4,63dd4059aafe88137a5f8715,labels,8,archeo,imp,5,5,5,5
2024-02-07 17:35:53,2024-02-07 17:38:58,0,109.155.8.1,100,185,1,2024-02-07 17:38:59,R_4LGRBO4uJ3VCbxn,NA,NA,NA,NA,54.7699,-1.559,anonymous,EN,1,I pay attention,NA,1,59,4,63dd4059aafe88137a5f8715,labels,8,ants,basic,5,5,5,5
2024-02-07 17:36:03,2024-02-07 17:39:07,0,88.97.51.212,100,183,1,2024-02-07 17:39:07,R_237lt6dQQ18SRk5,NA,NA,NA,NA,51.5967,-0.1593,anonymous,EN,1,I pay attention,NA,1,35,6,5feb31a4fef4d1b519e1cfc5,nolabels,9,archeo,imp,4,3,4,4
2024-02-07 17:36:03,2024-02-07 17:39:07,0,88.97.51.212,100,183,1,2024-02-07 17:39:07,R_237lt6dQQ18SRk5,NA,NA,NA,NA,51.5967,-0.1593,anonymous,EN,1,I pay attention,NA,1,35,6,5feb31a4fef4d1b519e1cfc5,nolabels,9,ants,basic,2,2,3,4
2024-02-07 17:35:51,2024-02-07 17:39:09,0,86.1.189.77,100,197,1,2024-02-07 17:39:09,R_1HwHSGYANnJ0QHn,NA,NA,NA,NA,51.8373,0.8174,anonymous,EN,1,I pay attention,NA,1,22,3,63e51bf29e3110c635031c03,labels,10,archeo,imp,2,3,3,3
2024-02-07 17:35:51,2024-02-07 17:39:09,0,86.1.189.77,100,197,1,2024-02-07 17:39:09,R_1HwHSGYANnJ0QHn,NA,NA,NA,NA,51.8373,0.8174,anonymous,EN,1,I pay attention,NA,1,22,3,63e51bf29e3110c635031c03,labels,10,ants,basic,2,2,3,3
2024-02-07 17:36:02,2024-02-07 17:39:10,0,94.193.176.169,100,188,1,2024-02-07 17:39:11,R_2wQtz9KCkpWpbZO,NA,NA,NA,NA,53.9308,-0.8083,anonymous,EN,1,I pay attention,NA,2,36,2,5eb12f8510e0ce205e7b25c7,nolabels,11,archeo,imp,2,3,3,3
2024-02-07 17:36:02,2024-02-07 17:39:10,0,94.193.176.169,100,188,1,2024-02-07 17:39:11,R_2wQtz9KCkpWpbZO,NA,NA,NA,NA,53.9308,-0.8083,anonymous,EN,1,I pay attention,NA,2,36,2,5eb12f8510e0ce205e7b25c7,nolabels,11,ants,basic,3,2,4,4
2024-02-07 17:35:49,2024-02-07 17:39:13,0,90.242.36.191,100,203,1,2024-02-07 17:39:13,R_25VH972BxnSuBrj,NA,NA,NA,NA,51.1896,-1.5385,anonymous,EN,1,I pay attention,NA,1,74,2,5ae0c7d4e0feeb0001caff2b,nolabels,12,archeo,basic,4,4,3,3
2024-02-07 17:35:49,2024-02-07 17:39:13,0,90.242.36.191,100,203,1,2024-02-07 17:39:13,R_25VH972BxnSuBrj,NA,NA,NA,NA,51.1896,-1.5385,anonymous,EN,1,I pay attention,NA,1,74,2,5ae0c7d4e0feeb0001caff2b,nolabels,12,ants,imp,5,5,3,3
2024-02-07 17:35:04,2024-02-07 17:39:15,0,5.65.236.236,100,251,1,2024-02-07 17:39:16,R_2ScSdXPxKrPPdcJ,NA,NA,NA,NA,51.4623,-2.5502,anonymous,EN,1,I pay attention,NA,1,51,5,57a6891d8eccbc0001f39f89,nolabels,13,archeo,imp,4,5,5,5
2024-02-07 17:35:04,2024-02-07 17:39:15,0,5.65.236.236,100,251,1,2024-02-07 17:39:16,R_2ScSdXPxKrPPdcJ,NA,NA,NA,NA,51.4623,-2.5502,anonymous,EN,1,I pay attention,NA,1,51,5,57a6891d8eccbc0001f39f89,nolabels,13,ants,basic,3,5,5,5
