StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,drug,planet,vertebrate,brain,boson,orbit,material,speed,cloning,magnetic,Q1...60,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,BCTI_autism,BCTI_polio,BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,reason_agreement,other_reason_agreement,reason_followup,Q1...84,education,comments,PROLIFIC_PID,Submission id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Covid-19 vaccine opinions,Covid-19 vaccination,Vaccine opinions 2,age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,gender,duration_mins,id,BCTI_avg,CMQ_avg,subject,knowledge,acceptance_initial,acceptance_confirmation,link1,link2,link_clicks,acceptance
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,drug,TRUE,Yes,NA,0,0,0,Yes
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,planet,FALSE,Yes,NA,0,0,0,Yes
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,vertebrate,FALSE,Yes,NA,0,0,0,Yes
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,brain,TRUE,Yes,NA,0,0,0,Yes
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,boson,TRUE,Yes,NA,0,0,0,Yes
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,orbit,TRUE,Yes,NA,0,0,0,Yes
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,material,FALSE,Yes,NA,0,0,0,Yes
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,speed,TRUE,Yes,NA,0,0,0,Yes
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,cloning,TRUE,Yes,NA,0,0,0,Yes
2024-08-13T16:27:51Z,2024-08-13T16:32:56Z,IP Address,97.184.248.111,100,304,True,2024-08-13 16:32:57,R_1EAiwtyHvmRVkuE,NA,NA,NA,NA,40.1793,-85.4939,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,50,90,60,8,NA,7,5,7,8,9,8,9,9,1,1,4,3,3,trust in scientists,NA,NA,NA,3- or 4-year College Degree,NA,663e3d9940afc32fd96653a0,66bb6d5672ae5d33fffbd987,AWAITING REVIEW,Not Applicable,2024-08-13T14:27:49Z,2024-08-13T14:33:23Z,NA,2024-08-13T14:33:23Z,334,C3MDUOHD,115,Against (I feel negatively about the vaccines),No,1 (TOTALLY DISAGREEE),28,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",female,5.083333333333333,1,6.4,68,magnetic,FALSE,Yes,NA,0,0,0,Yes
