StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,gender,age,education,PROLIFIC_PID,independence,counter,id,convergence,stimulus_variant,accuracy,competence,Submission id,Status.y,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2023-04-14 15:29:14,2023-04-14 15:30:36,0,146.198.235.52,100,82,1,2023-04-14 15:30:37,R_1dMlILeNQ6VUv8H,NA,NA,NA,NA,51.279,1.0763,anonymous,EN,1,I pay attention,NA,male,28,6,63d53b38b9e515c80720bb76,conflict of interest,8,1,0,a,33,4,6439552521b1cbc84917370d,AWAITING REVIEW,2023-04-14T13:29:13Z,2023-04-14T13:30:38Z,NA,2023-04-14T13:30:39Z,86,5A34BA6B,129,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-04-14 15:29:14,2023-04-14 15:30:36,0,146.198.235.52,100,82,1,2023-04-14 15:30:37,R_1dMlILeNQ6VUv8H,NA,NA,NA,NA,51.279,1.0763,anonymous,EN,1,I pay attention,NA,male,28,6,63d53b38b9e515c80720bb76,conflict of interest,8,1,0,b,33,4,6439552521b1cbc84917370d,AWAITING REVIEW,2023-04-14T13:29:13Z,2023-04-14T13:30:38Z,NA,2023-04-14T13:30:39Z,86,5A34BA6B,129,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-04-14 15:29:14,2023-04-14 15:30:36,0,146.198.235.52,100,82,1,2023-04-14 15:30:37,R_1dMlILeNQ6VUv8H,NA,NA,NA,NA,51.279,1.0763,anonymous,EN,1,I pay attention,NA,male,28,6,63d53b38b9e515c80720bb76,conflict of interest,8,1,1,a,33,4,6439552521b1cbc84917370d,AWAITING REVIEW,2023-04-14T13:29:13Z,2023-04-14T13:30:38Z,NA,2023-04-14T13:30:39Z,86,5A34BA6B,129,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-04-14 15:29:14,2023-04-14 15:30:36,0,146.198.235.52,100,82,1,2023-04-14 15:30:37,R_1dMlILeNQ6VUv8H,NA,NA,NA,NA,51.279,1.0763,anonymous,EN,1,I pay attention,NA,male,28,6,63d53b38b9e515c80720bb76,conflict of interest,8,1,1,b,33,4,6439552521b1cbc84917370d,AWAITING REVIEW,2023-04-14T13:29:13Z,2023-04-14T13:30:38Z,NA,2023-04-14T13:30:39Z,86,5A34BA6B,129,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-04-14 15:29:14,2023-04-14 15:30:36,0,146.198.235.52,100,82,1,2023-04-14 15:30:37,R_1dMlILeNQ6VUv8H,NA,NA,NA,NA,51.279,1.0763,anonymous,EN,1,I pay attention,NA,male,28,6,63d53b38b9e515c80720bb76,conflict of interest,8,1,2,a,33,4,6439552521b1cbc84917370d,AWAITING REVIEW,2023-04-14T13:29:13Z,2023-04-14T13:30:38Z,NA,2023-04-14T13:30:39Z,86,5A34BA6B,129,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-04-14 15:29:14,2023-04-14 15:30:36,0,146.198.235.52,100,82,1,2023-04-14 15:30:37,R_1dMlILeNQ6VUv8H,NA,NA,NA,NA,51.279,1.0763,anonymous,EN,1,I pay attention,NA,male,28,6,63d53b38b9e515c80720bb76,conflict of interest,8,1,2,b,33,4,6439552521b1cbc84917370d,AWAITING REVIEW,2023-04-14T13:29:13Z,2023-04-14T13:30:38Z,NA,2023-04-14T13:30:39Z,86,5A34BA6B,129,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-04-14 15:29:14,2023-04-14 15:30:36,0,146.198.235.52,100,82,1,2023-04-14 15:30:37,R_1dMlILeNQ6VUv8H,NA,NA,NA,NA,51.279,1.0763,anonymous,EN,1,I pay attention,NA,male,28,6,63d53b38b9e515c80720bb76,conflict of interest,8,1,3,a,33,4,6439552521b1cbc84917370d,AWAITING REVIEW,2023-04-14T13:29:13Z,2023-04-14T13:30:38Z,NA,2023-04-14T13:30:39Z,86,5A34BA6B,129,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-04-14 15:29:14,2023-04-14 15:30:36,0,146.198.235.52,100,82,1,2023-04-14 15:30:37,R_1dMlILeNQ6VUv8H,NA,NA,NA,NA,51.279,1.0763,anonymous,EN,1,I pay attention,NA,male,28,6,63d53b38b9e515c80720bb76,conflict of interest,8,1,3,b,33,4,6439552521b1cbc84917370d,AWAITING REVIEW,2023-04-14T13:29:13Z,2023-04-14T13:30:38Z,NA,2023-04-14T13:30:39Z,86,5A34BA6B,129,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-04-14 15:28:55,2023-04-14 15:30:37,0,86.132.96.67,100,102,1,2023-04-14 15:30:38,R_2VCrkVCijRodKQY,NA,NA,NA,NA,53.5197,-2.2109,anonymous,EN,1,I pay attention,NA,male,34,5,63edee4b5034b267d8fad626,conflict of interest,8,2,0,a,10,2,64395511beb488cd77cd6248,AWAITING REVIEW,2023-04-14T13:28:53Z,2023-04-14T13:30:39Z,NA,2023-04-14T13:30:39Z,106,5A34BA6B,76,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-04-14 15:28:55,2023-04-14 15:30:37,0,86.132.96.67,100,102,1,2023-04-14 15:30:38,R_2VCrkVCijRodKQY,NA,NA,NA,NA,53.5197,-2.2109,anonymous,EN,1,I pay attention,NA,male,34,5,63edee4b5034b267d8fad626,conflict of interest,8,2,0,b,44,4,64395511beb488cd77cd6248,AWAITING REVIEW,2023-04-14T13:28:53Z,2023-04-14T13:30:39Z,NA,2023-04-14T13:30:39Z,106,5A34BA6B,76,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
