StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,gender,age,education,PROLIFIC_PID,number,counter,id,number_options,stimuli_10_version,convergence,stimulus_variant,accuracy,competence,Submission id,Status.y,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2023-06-06 12:59:16,2023-06-06 13:00:38,0,94.0.243.89,100,82,1,2023-06-06 13:00:39,R_UtMKqsP8EZhgn4Z,NA,NA,NA,NA,51.364,-0.392,anonymous,EN,1,I pay attention,NA,male,26,8,5e8d78c5d0f9141480891cee,ten,8,1,ten,ten,0,a,35,3,647f117f12b1c391221b5369,AWAITING REVIEW,2023-06-06T10:59:14Z,2023-06-06T11:00:41Z,NA,2023-06-06T11:00:41Z,87,5A34BA6B,241,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-06-06 12:59:16,2023-06-06 13:00:38,0,94.0.243.89,100,82,1,2023-06-06 13:00:39,R_UtMKqsP8EZhgn4Z,NA,NA,NA,NA,51.364,-0.392,anonymous,EN,1,I pay attention,NA,male,26,8,5e8d78c5d0f9141480891cee,ten,8,1,ten,ten,0,b,26,3,647f117f12b1c391221b5369,AWAITING REVIEW,2023-06-06T10:59:14Z,2023-06-06T11:00:41Z,NA,2023-06-06T11:00:41Z,87,5A34BA6B,241,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-06-06 12:59:16,2023-06-06 13:00:38,0,94.0.243.89,100,82,1,2023-06-06 13:00:39,R_UtMKqsP8EZhgn4Z,NA,NA,NA,NA,51.364,-0.392,anonymous,EN,1,I pay attention,NA,male,26,8,5e8d78c5d0f9141480891cee,ten,8,1,ten,ten,1,a,48,4,647f117f12b1c391221b5369,AWAITING REVIEW,2023-06-06T10:59:14Z,2023-06-06T11:00:41Z,NA,2023-06-06T11:00:41Z,87,5A34BA6B,241,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-06-06 12:59:16,2023-06-06 13:00:38,0,94.0.243.89,100,82,1,2023-06-06 13:00:39,R_UtMKqsP8EZhgn4Z,NA,NA,NA,NA,51.364,-0.392,anonymous,EN,1,I pay attention,NA,male,26,8,5e8d78c5d0f9141480891cee,ten,8,1,ten,ten,1,b,28,4,647f117f12b1c391221b5369,AWAITING REVIEW,2023-06-06T10:59:14Z,2023-06-06T11:00:41Z,NA,2023-06-06T11:00:41Z,87,5A34BA6B,241,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-06-06 12:59:16,2023-06-06 13:00:38,0,94.0.243.89,100,82,1,2023-06-06 13:00:39,R_UtMKqsP8EZhgn4Z,NA,NA,NA,NA,51.364,-0.392,anonymous,EN,1,I pay attention,NA,male,26,8,5e8d78c5d0f9141480891cee,ten,8,1,ten,ten,2,a,50,5,647f117f12b1c391221b5369,AWAITING REVIEW,2023-06-06T10:59:14Z,2023-06-06T11:00:41Z,NA,2023-06-06T11:00:41Z,87,5A34BA6B,241,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-06-06 12:59:16,2023-06-06 13:00:38,0,94.0.243.89,100,82,1,2023-06-06 13:00:39,R_UtMKqsP8EZhgn4Z,NA,NA,NA,NA,51.364,-0.392,anonymous,EN,1,I pay attention,NA,male,26,8,5e8d78c5d0f9141480891cee,ten,8,1,ten,ten,2,b,59,5,647f117f12b1c391221b5369,AWAITING REVIEW,2023-06-06T10:59:14Z,2023-06-06T11:00:41Z,NA,2023-06-06T11:00:41Z,87,5A34BA6B,241,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-06-06 12:59:16,2023-06-06 13:00:38,0,94.0.243.89,100,82,1,2023-06-06 13:00:39,R_UtMKqsP8EZhgn4Z,NA,NA,NA,NA,51.364,-0.392,anonymous,EN,1,I pay attention,NA,male,26,8,5e8d78c5d0f9141480891cee,ten,8,1,ten,ten,3,a,83,6,647f117f12b1c391221b5369,AWAITING REVIEW,2023-06-06T10:59:14Z,2023-06-06T11:00:41Z,NA,2023-06-06T11:00:41Z,87,5A34BA6B,241,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-06-06 12:59:16,2023-06-06 13:00:38,0,94.0.243.89,100,82,1,2023-06-06 13:00:39,R_UtMKqsP8EZhgn4Z,NA,NA,NA,NA,51.364,-0.392,anonymous,EN,1,I pay attention,NA,male,26,8,5e8d78c5d0f9141480891cee,ten,8,1,ten,ten,3,b,77,6,647f117f12b1c391221b5369,AWAITING REVIEW,2023-06-06T10:59:14Z,2023-06-06T11:00:41Z,NA,2023-06-06T11:00:41Z,87,5A34BA6B,241,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-06-06 12:59:28,2023-06-06 13:01:02,0,82.24.25.106,100,94,1,2023-06-06 13:01:03,R_2xIW3a13mlqiyAo,NA,NA,NA,NA,50.9051,-1.3655,anonymous,EN,1,i pay attention,NA,male,35,3,62ab2034b58fe149d144acf4,three,8,2,three,NA,0,a,33,3,647f118b723673db7d0aaf72,AWAITING REVIEW,2023-06-06T10:59:26Z,2023-06-06T11:01:04Z,NA,2023-06-06T11:01:05Z,98,5A34BA6B,533,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2023-06-06 12:59:28,2023-06-06 13:01:02,0,82.24.25.106,100,94,1,2023-06-06 13:01:03,R_2xIW3a13mlqiyAo,NA,NA,NA,NA,50.9051,-1.3655,anonymous,EN,1,i pay attention,NA,male,35,3,62ab2034b58fe149d144acf4,three,8,2,three,NA,0,b,34,3,647f118b723673db7d0aaf72,AWAITING REVIEW,2023-06-06T10:59:26Z,2023-06-06T11:01:04Z,NA,2023-06-06T11:01:05Z,98,5A34BA6B,533,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
