term,power,n,iterations,outcome
convergence,1,20,1000,accuracy
convergence:number_options10,0.237,20,1000,accuracy
number_options10,0.19,20,1000,accuracy
convergence,1,40,1000,accuracy
convergence:number_options10,0.44,40,1000,accuracy
number_options10,0.328,40,1000,accuracy
convergence,1,60,1000,accuracy
convergence:number_options10,0.604,60,1000,accuracy
number_options10,0.471,60,1000,accuracy
convergence,1,80,1000,accuracy
convergence:number_options10,0.73,80,1000,accuracy
number_options10,0.613,80,1000,accuracy
convergence,1,100,1000,accuracy
convergence:number_options10,0.814,100,1000,accuracy
number_options10,0.696,100,1000,accuracy
convergence,1,120,1000,accuracy
convergence:number_options10,0.878,120,1000,accuracy
number_options10,0.799,120,1000,accuracy
convergence,1,140,1000,accuracy
convergence:number_options10,0.928,140,1000,accuracy
number_options10,0.825,140,1000,accuracy
convergence,1,160,1000,accuracy
convergence:number_options10,0.946,160,1000,accuracy
number_options10,0.885,160,1000,accuracy
convergence,1,180,1000,accuracy
convergence:number_options10,0.983,180,1000,accuracy
number_options10,0.921,180,1000,accuracy
convergence,1,200,1000,accuracy
convergence:number_options10,0.982,200,1000,accuracy
number_options10,0.949,200,1000,accuracy
