Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
647f116f78d1925d74103189,6267c02a72a6675363631f49,AWAITING REVIEW,2023-06-06T10:59:03.965000Z,2023-06-06T11:02:37.485000Z,,2023-06-06T11:02:37.943737Z,214,5A34BA6B,739,50,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647f1174655a10193ec3d018,57b715b842195e000159f82b,AWAITING REVIEW,2023-06-06T10:59:03.536000Z,2023-06-06T11:05:17.696000Z,,2023-06-06T11:05:18.088026Z,375,5A34BA6B,1121,39,Female,White,Morocco,United Kingdom,United Kingdom,English,No,Part-Time
647f1175e879b46dddb071fd,5fcd709227fabfc6ca7a969e,AWAITING REVIEW,2023-06-06T10:59:05.472000Z,2023-06-06T11:01:55.186000Z,,2023-06-06T11:01:55.674368Z,170,5A34BA6B,699,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647f1176012916638015048e,5b2a72f7c293b90001732b89,AWAITING REVIEW,2023-06-06T10:59:06.960000Z,2023-06-06T11:02:14.968000Z,,2023-06-06T11:02:16.315876Z,189,5A34BA6B,1235,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647f117641d748b52e103159,5acca930a3ba7a0001b500fa,AWAITING REVIEW,2023-06-06T10:59:05.021000Z,2023-06-06T11:02:14.068000Z,,2023-06-06T11:02:14.695786Z,190,5A34BA6B,1125,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647f11777d446ca98eab2dad,596e1cc639e9d00001b7bb84,AWAITING REVIEW,2023-06-06T10:59:13.103000Z,2023-06-06T11:03:14.703000Z,,2023-06-06T11:03:16.158011Z,242,5A34BA6B,1397,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
647f11791d48f4d629e05c56,5cf66ed8912f0b0017c50b52,AWAITING REVIEW,2023-06-06T10:59:07.406000Z,2023-06-06T11:01:45.841000Z,,2023-06-06T11:01:46.495112Z,159,5A34BA6B,379,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647f117a41d748b52e10315b,5b8fe9af73103d0001077f5d,AWAITING REVIEW,2023-06-06T10:59:08.656000Z,2023-06-06T11:27:13.292000Z,,2023-06-06T11:27:16.228923Z,1685,5A34BA6B,348,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
647f117a4419430423f12565,5f64647e17ef411eb0c20359,AWAITING REVIEW,2023-06-06T10:59:19.095000Z,2023-06-06T11:04:30.123000Z,,2023-06-06T11:04:30.565016Z,312,5A34BA6B,243,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
647f117a732fb6bbaf65bc85,56b78f11e77ebe000cbefe79,AWAITING REVIEW,2023-06-06T10:59:06.861000Z,2023-06-06T11:02:56.869000Z,,2023-06-06T11:02:57.234182Z,231,5A34BA6B,3583,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647f117a7b44162b508cc8d1,5e02285cac9e16dcddb845ef,AWAITING REVIEW,2023-06-06T10:59:06.646000Z,2023-06-06T11:01:29.281000Z,,2023-06-06T11:01:29.692986Z,143,5A34BA6B,947,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
647f117b78d1925d7410318f,59d866c4e2762800015eb6e3,AWAITING REVIEW,2023-06-06T10:59:12.836000Z,2023-06-06T11:03:07.726000Z,,2023-06-06T11:03:08.214515Z,235,5A34BA6B,1170,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647f117c1ffab67a0455f3fe,5c7288f41384ee000111604a,AWAITING REVIEW,2023-06-06T10:59:15.015000Z,2023-06-06T11:01:19.168000Z,,2023-06-06T11:01:19.562114Z,125,5A34BA6B,135,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647f117e487c1f587114fbf4,5ed39d114858d002a0691781,AWAITING REVIEW,2023-06-06T10:59:14.843000Z,2023-06-06T11:07:15.756000Z,,2023-06-06T11:07:16.383474Z,481,5A34BA6B,1209,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
647f117f12b1c391221b5369,5e8d78c5d0f9141480891cee,AWAITING REVIEW,2023-06-06T10:59:14.555000Z,2023-06-06T11:00:41.546000Z,,2023-06-06T11:00:41.971630Z,87,5A34BA6B,241,26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647f117f535efd725e07222f,6136001fcd0e07e6f5f66bc1,AWAITING REVIEW,2023-06-06T10:59:18.076000Z,2023-06-06T11:02:13.422000Z,,2023-06-06T11:02:13.840897Z,176,5A34BA6B,1052,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Due to start a new job within the next month
647f11803a6e1217967df942,6128d76bf2f6b1df98035506,AWAITING REVIEW,2023-06-06T10:59:15.726000Z,2023-06-06T11:01:26.413000Z,,2023-06-06T11:01:26.752716Z,131,5A34BA6B,627,27,Female,White,United Kingdom,United Kingdom,United Kingdom,Welsh,No,Full-Time
647f11807d446ca98eab2db4,5f26dd3e6b1b3102c2d9194d,AWAITING REVIEW,2023-06-06T10:59:12.762000Z,2023-06-06T11:02:06.933000Z,,2023-06-06T11:02:07.358970Z,175,5A34BA6B,445,31,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
647f1180d39e40b5a0200b58,61237068bc84f5037bd32443,AWAITING REVIEW,2023-06-06T10:59:16.593000Z,2023-06-06T11:02:56.739000Z,,2023-06-06T11:02:57.143861Z,221,5A34BA6B,180,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647f1180e8da693e603f198e,57d5ab3a722df500017f3622,AWAITING REVIEW,2023-06-06T10:59:12.148000Z,2023-06-06T11:02:36.825000Z,,2023-06-06T11:02:37.665040Z,205,5A34BA6B,3870,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647f1181660f1e6bcec3d058,630be3605287a0f49b87c709,AWAITING REVIEW,2023-06-06T10:59:17.638000Z,2023-06-06T11:05:20.759000Z,,2023-06-06T11:05:21.165420Z,364,5A34BA6B,495,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647f1181fcf044cdd90aaf24,57c426fa9fe51d00012391f1,AWAITING REVIEW,2023-06-06T10:59:13.366000Z,2023-06-06T11:03:22.906000Z,,2023-06-06T11:03:23.327632Z,250,5A34BA6B,1971,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647f1181feeff9f56da2d7d7,5f4538b6ffe9f50c3cbe3ae1,AWAITING REVIEW,2023-06-06T10:59:22.174000Z,2023-06-06T11:03:22.833000Z,,2023-06-06T11:03:23.255644Z,241,5A34BA6B,76,23,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647f11820c47256c0f187738,6148534692faf0e96f0858b2,AWAITING REVIEW,2023-06-06T10:59:16.850000Z,2023-06-06T11:01:51.761000Z,,2023-06-06T11:01:52.157881Z,155,5A34BA6B,591,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
647f11826d9864da40a069a1,60461bfeeac81b04cf62f7a6,AWAITING REVIEW,2023-06-06T10:59:14.606000Z,2023-06-06T11:02:27.345000Z,,2023-06-06T11:02:27.838179Z,193,5A34BA6B,1130,61,Female,White,Malawi,United Kingdom,United Kingdom,English,No,Part-Time
647f1182c95ccc03c84d2ff4,5ec6c8ad6f911e0e87e58b1f,AWAITING REVIEW,2023-06-06T10:59:20.230000Z,2023-06-06T11:02:06.404000Z,,2023-06-06T11:02:06.840766Z,167,5A34BA6B,601,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
