term,power,n,iterations,outcome
convergence,0.659,20,1000,competence
convergence:number_options10,0.13,20,1000,competence
number_options10,0.057,20,1000,competence
convergence,0.928,40,1000,competence
convergence:number_options10,0.195,40,1000,competence
number_options10,0.062,40,1000,competence
convergence,0.989,60,1000,competence
convergence:number_options10,0.286,60,1000,competence
number_options10,0.069,60,1000,competence
convergence,0.999,80,1000,competence
convergence:number_options10,0.347,80,1000,competence
number_options10,0.087,80,1000,competence
convergence,1,100,1000,competence
convergence:number_options10,0.386,100,1000,competence
number_options10,0.079,100,1000,competence
convergence,1,120,1000,competence
convergence:number_options10,0.5,120,1000,competence
number_options10,0.098,120,1000,competence
convergence,1,140,1000,competence
convergence:number_options10,0.539,140,1000,competence
number_options10,0.109,140,1000,competence
convergence,1,160,1000,competence
convergence:number_options10,0.628,160,1000,competence
number_options10,0.133,160,1000,competence
convergence,1,180,1000,competence
convergence:number_options10,0.659,180,1000,competence
number_options10,0.124,180,1000,competence
convergence,1,200,1000,competence
convergence:number_options10,0.706,200,1000,competence
number_options10,0.125,200,1000,competence
convergence,1,220,1000,competence
convergence:number_options10,0.735,220,1000,competence
number_options10,0.147,220,1000,competence
convergence,1,240,1000,competence
convergence:number_options10,0.777,240,1000,competence
number_options10,0.145,240,1000,competence
convergence,1,260,1000,competence
convergence:number_options10,0.854,260,1000,competence
number_options10,0.173,260,1000,competence
convergence,1,280,1000,competence
convergence:number_options10,0.851,280,1000,competence
number_options10,0.167,280,1000,competence
convergence,1,300,1000,competence
convergence:number_options10,0.872,300,1000,competence
number_options10,0.183,300,1000,competence
