StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q2,gender,age,education,PROLIFIC_PID,counter,ID,convergence,number,variant,guess,conf,comp,competence,confidence
2022-04-22 16:03:08,2022-04-22 16:06:05,0,86.143.121.115,100,176,1,2022-04-22 16:06:05,R_3fCMeprMtqT3Q9M,NA,NA,NA,NA,51.2796,-0.8337,anonymous,EN,1,I pay attention,NA,male,31,2,61673c4003922ad28160efdd,8,1,convergent,large,a,1399,5,5,5,5
2022-04-22 16:03:08,2022-04-22 16:06:05,0,86.143.121.115,100,176,1,2022-04-22 16:06:05,R_3fCMeprMtqT3Q9M,NA,NA,NA,NA,51.2796,-0.8337,anonymous,EN,1,I pay attention,NA,male,31,2,61673c4003922ad28160efdd,8,1,convergent,large,b,1736,4,5,5,4
2022-04-22 16:03:08,2022-04-22 16:06:05,0,86.143.121.115,100,176,1,2022-04-22 16:06:05,R_3fCMeprMtqT3Q9M,NA,NA,NA,NA,51.2796,-0.8337,anonymous,EN,1,I pay attention,NA,male,31,2,61673c4003922ad28160efdd,8,1,convergent,small,a,1665,5,5,5,5
2022-04-22 16:03:08,2022-04-22 16:06:05,0,86.143.121.115,100,176,1,2022-04-22 16:06:05,R_3fCMeprMtqT3Q9M,NA,NA,NA,NA,51.2796,-0.8337,anonymous,EN,1,I pay attention,NA,male,31,2,61673c4003922ad28160efdd,8,1,convergent,small,b,1554,3,3,3,3
2022-04-22 16:03:08,2022-04-22 16:06:05,0,86.143.121.115,100,176,1,2022-04-22 16:06:05,R_3fCMeprMtqT3Q9M,NA,NA,NA,NA,51.2796,-0.8337,anonymous,EN,1,I pay attention,NA,male,31,2,61673c4003922ad28160efdd,8,1,divergent,large,a,1382,2,3,3,2
2022-04-22 16:03:08,2022-04-22 16:06:05,0,86.143.121.115,100,176,1,2022-04-22 16:06:05,R_3fCMeprMtqT3Q9M,NA,NA,NA,NA,51.2796,-0.8337,anonymous,EN,1,I pay attention,NA,male,31,2,61673c4003922ad28160efdd,8,1,divergent,large,b,1630,1,2,2,1
2022-04-22 16:03:08,2022-04-22 16:06:05,0,86.143.121.115,100,176,1,2022-04-22 16:06:05,R_3fCMeprMtqT3Q9M,NA,NA,NA,NA,51.2796,-0.8337,anonymous,EN,1,I pay attention,NA,male,31,2,61673c4003922ad28160efdd,8,1,divergent,small,a,1501,3,3,3,3
2022-04-22 16:03:08,2022-04-22 16:06:05,0,86.143.121.115,100,176,1,2022-04-22 16:06:05,R_3fCMeprMtqT3Q9M,NA,NA,NA,NA,51.2796,-0.8337,anonymous,EN,1,I pay attention,NA,male,31,2,61673c4003922ad28160efdd,8,1,divergent,small,b,1332,1,1,1,1
2022-04-22 16:05:03,2022-04-22 16:08:11,0,81.96.7.99,100,187,1,2022-04-22 16:08:11,R_2Cx36zKILU0vOJN,NA,NA,NA,NA,51.8053,-0.8086,anonymous,EN,1,I pay attention,NA,female,34,8,5ae7107c3b85e70001176dd4,8,2,convergent,large,a,1558,4,4,4,4
2022-04-22 16:05:03,2022-04-22 16:08:11,0,81.96.7.99,100,187,1,2022-04-22 16:08:11,R_2Cx36zKILU0vOJN,NA,NA,NA,NA,51.8053,-0.8086,anonymous,EN,1,I pay attention,NA,female,34,8,5ae7107c3b85e70001176dd4,8,2,convergent,large,b,1380,4,4,4,4
2022-04-22 16:05:03,2022-04-22 16:08:11,0,81.96.7.99,100,187,1,2022-04-22 16:08:11,R_2Cx36zKILU0vOJN,NA,NA,NA,NA,51.8053,-0.8086,anonymous,EN,1,I pay attention,NA,female,34,8,5ae7107c3b85e70001176dd4,8,2,convergent,small,a,1469,4,4,4,4
2022-04-22 16:05:03,2022-04-22 16:08:11,0,81.96.7.99,100,187,1,2022-04-22 16:08:11,R_2Cx36zKILU0vOJN,NA,NA,NA,NA,51.8053,-0.8086,anonymous,EN,1,I pay attention,NA,female,34,8,5ae7107c3b85e70001176dd4,8,2,convergent,small,b,1352,4,4,4,4
2022-04-22 16:05:03,2022-04-22 16:08:11,0,81.96.7.99,100,187,1,2022-04-22 16:08:11,R_2Cx36zKILU0vOJN,NA,NA,NA,NA,51.8053,-0.8086,anonymous,EN,1,I pay attention,NA,female,34,8,5ae7107c3b85e70001176dd4,8,2,divergent,large,a,1673,4,4,4,4
2022-04-22 16:05:03,2022-04-22 16:08:11,0,81.96.7.99,100,187,1,2022-04-22 16:08:11,R_2Cx36zKILU0vOJN,NA,NA,NA,NA,51.8053,-0.8086,anonymous,EN,1,I pay attention,NA,female,34,8,5ae7107c3b85e70001176dd4,8,2,divergent,large,b,1601,4,4,4,4
2022-04-22 16:05:03,2022-04-22 16:08:11,0,81.96.7.99,100,187,1,2022-04-22 16:08:11,R_2Cx36zKILU0vOJN,NA,NA,NA,NA,51.8053,-0.8086,anonymous,EN,1,I pay attention,NA,female,34,8,5ae7107c3b85e70001176dd4,8,2,divergent,small,a,1593,4,4,4,4
2022-04-22 16:05:03,2022-04-22 16:08:11,0,81.96.7.99,100,187,1,2022-04-22 16:08:11,R_2Cx36zKILU0vOJN,NA,NA,NA,NA,51.8053,-0.8086,anonymous,EN,1,I pay attention,NA,female,34,8,5ae7107c3b85e70001176dd4,8,2,divergent,small,b,1759,4,4,4,4
2022-04-22 16:04:17,2022-04-22 16:08:33,0,82.69.125.235,100,256,1,2022-04-22 16:08:34,R_2rIamXUrECHX7tD,NA,NA,NA,NA,51.536,-0.0925,anonymous,EN,1,I pay attention,NA,female,24,5,5f14a3b0188dff519298a4c6,8,3,convergent,large,a,1576,2,5,5,2
2022-04-22 16:04:17,2022-04-22 16:08:33,0,82.69.125.235,100,256,1,2022-04-22 16:08:34,R_2rIamXUrECHX7tD,NA,NA,NA,NA,51.536,-0.0925,anonymous,EN,1,I pay attention,NA,female,24,5,5f14a3b0188dff519298a4c6,8,3,convergent,large,b,1301,4,5,5,4
2022-04-22 16:04:17,2022-04-22 16:08:33,0,82.69.125.235,100,256,1,2022-04-22 16:08:34,R_2rIamXUrECHX7tD,NA,NA,NA,NA,51.536,-0.0925,anonymous,EN,1,I pay attention,NA,female,24,5,5f14a3b0188dff519298a4c6,8,3,convergent,small,a,1647,3,5,5,3
2022-04-22 16:04:17,2022-04-22 16:08:33,0,82.69.125.235,100,256,1,2022-04-22 16:08:34,R_2rIamXUrECHX7tD,NA,NA,NA,NA,51.536,-0.0925,anonymous,EN,1,I pay attention,NA,female,24,5,5f14a3b0188dff519298a4c6,8,3,convergent,small,b,1456,2,4,4,2
2022-04-22 16:04:17,2022-04-22 16:08:33,0,82.69.125.235,100,256,1,2022-04-22 16:08:34,R_2rIamXUrECHX7tD,NA,NA,NA,NA,51.536,-0.0925,anonymous,EN,1,I pay attention,NA,female,24,5,5f14a3b0188dff519298a4c6,8,3,divergent,large,a,1330,2,3,3,2
2022-04-22 16:04:17,2022-04-22 16:08:33,0,82.69.125.235,100,256,1,2022-04-22 16:08:34,R_2rIamXUrECHX7tD,NA,NA,NA,NA,51.536,-0.0925,anonymous,EN,1,I pay attention,NA,female,24,5,5f14a3b0188dff519298a4c6,8,3,divergent,large,b,1577,4,5,5,4
2022-04-22 16:04:17,2022-04-22 16:08:33,0,82.69.125.235,100,256,1,2022-04-22 16:08:34,R_2rIamXUrECHX7tD,NA,NA,NA,NA,51.536,-0.0925,anonymous,EN,1,I pay attention,NA,female,24,5,5f14a3b0188dff519298a4c6,8,3,divergent,small,a,1326,2,4,4,2
2022-04-22 16:04:17,2022-04-22 16:08:33,0,82.69.125.235,100,256,1,2022-04-22 16:08:34,R_2rIamXUrECHX7tD,NA,NA,NA,NA,51.536,-0.0925,anonymous,EN,1,I pay attention,NA,female,24,5,5f14a3b0188dff519298a4c6,8,3,divergent,small,b,1610,3,4,4,3
2022-04-22 16:05:58,2022-04-22 16:08:49,0,81.100.174.172,100,171,1,2022-04-22 16:08:50,R_2P7lArZUrWTEFu6,NA,NA,NA,NA,51.4828,-0.1371,anonymous,EN,1,I pay attention,NA,female,29,5,5d548c047795f80001bf611f,8,4,convergent,large,a,1354,6,5,5,6
2022-04-22 16:05:58,2022-04-22 16:08:49,0,81.100.174.172,100,171,1,2022-04-22 16:08:50,R_2P7lArZUrWTEFu6,NA,NA,NA,NA,51.4828,-0.1371,anonymous,EN,1,I pay attention,NA,female,29,5,5d548c047795f80001bf611f,8,4,convergent,large,b,1675,5,5,5,5
2022-04-22 16:05:58,2022-04-22 16:08:49,0,81.100.174.172,100,171,1,2022-04-22 16:08:50,R_2P7lArZUrWTEFu6,NA,NA,NA,NA,51.4828,-0.1371,anonymous,EN,1,I pay attention,NA,female,29,5,5d548c047795f80001bf611f,8,4,convergent,small,a,1662,5,5,5,5
2022-04-22 16:05:58,2022-04-22 16:08:49,0,81.100.174.172,100,171,1,2022-04-22 16:08:50,R_2P7lArZUrWTEFu6,NA,NA,NA,NA,51.4828,-0.1371,anonymous,EN,1,I pay attention,NA,female,29,5,5d548c047795f80001bf611f,8,4,convergent,small,b,1518,5,4,4,5
2022-04-22 16:05:58,2022-04-22 16:08:49,0,81.100.174.172,100,171,1,2022-04-22 16:08:50,R_2P7lArZUrWTEFu6,NA,NA,NA,NA,51.4828,-0.1371,anonymous,EN,1,I pay attention,NA,female,29,5,5d548c047795f80001bf611f,8,4,divergent,large,a,1518,4,3,3,4
