StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,gender,age,education,PROLIFIC_PID,version,id,discipline,impressiveness,learn,impressed,know,competence,trust,cons
2024-02-21 13:38:41,2024-02-21 13:40:00,0,90.203.244.103,100,78,1,2024-02-21 13:40:00,R_2fDlKivuKGPpdXq,NA,NA,NA,NA,55.0223,-3.2763,anonymous,EN,1,I pay attention,NA,2,23,6,5f105b47d36c8701ec112317,all questions,1,archeo,imp,3,4,4,4,4,3
2024-02-21 13:38:41,2024-02-21 13:40:00,0,90.203.244.103,100,78,1,2024-02-21 13:40:00,R_2fDlKivuKGPpdXq,NA,NA,NA,NA,55.0223,-3.2763,anonymous,EN,1,I pay attention,NA,2,23,6,5f105b47d36c8701ec112317,all questions,1,entom,basic,4,4,4,4,4,4
2024-02-21 13:38:34,2024-02-21 13:40:09,0,51.241.7.70,100,94,1,2024-02-21 13:40:09,R_2etxZjXWBDCJUNG,NA,NA,NA,NA,51.9045,-0.1984,anonymous,EN,1,I pay attention,NA,1,28,2,637e1c1af194c6e63e8ff286,trust only,2,archeo,basic,NA,NA,NA,NA,4,4
2024-02-21 13:38:34,2024-02-21 13:40:09,0,51.241.7.70,100,94,1,2024-02-21 13:40:09,R_2etxZjXWBDCJUNG,NA,NA,NA,NA,51.9045,-0.1984,anonymous,EN,1,I pay attention,NA,1,28,2,637e1c1af194c6e63e8ff286,trust only,2,entom,imp,NA,NA,NA,NA,3,3
2024-02-21 13:38:34,2024-02-21 13:40:19,0,68.227.193.120,100,105,1,2024-02-21 13:40:19,R_1GDurWXzQjhCnok,NA,NA,NA,NA,41.874,-71.3844,anonymous,EN,1,I pay attention,NA,1,27,6,631c8e97db06f601f81bd82f,trust only,3,archeo,basic,NA,NA,NA,NA,4,4
2024-02-21 13:38:34,2024-02-21 13:40:19,0,68.227.193.120,100,105,1,2024-02-21 13:40:19,R_1GDurWXzQjhCnok,NA,NA,NA,NA,41.874,-71.3844,anonymous,EN,1,I pay attention,NA,1,27,6,631c8e97db06f601f81bd82f,trust only,3,entom,imp,NA,NA,NA,NA,4,4
2024-02-21 13:38:23,2024-02-21 13:40:27,0,188.28.105.2,100,124,1,2024-02-21 13:40:28,R_8ilLZnm4qdrhOvL,NA,NA,NA,NA,51.4981,-0.0886,anonymous,EN,1,I pay attention,NA,1,43,2,57d5ab3a722df500017f3622,trust only,4,archeo,imp,NA,NA,NA,NA,4,3
2024-02-21 13:38:23,2024-02-21 13:40:27,0,188.28.105.2,100,124,1,2024-02-21 13:40:28,R_8ilLZnm4qdrhOvL,NA,NA,NA,NA,51.4981,-0.0886,anonymous,EN,1,I pay attention,NA,1,43,2,57d5ab3a722df500017f3622,trust only,4,entom,basic,NA,NA,NA,NA,4,4
2024-02-21 13:38:19,2024-02-21 13:40:39,0,86.31.241.127,100,139,1,2024-02-21 13:40:39,R_4kLkCrdRRNwOSQz,NA,NA,NA,NA,51.5646,0.0898,anonymous,EN,1,I pay attention,NA,1,29,5,5e0fece5f6191f70b66608ef,trust only,5,archeo,basic,NA,NA,NA,NA,4,5
2024-02-21 13:38:19,2024-02-21 13:40:39,0,86.31.241.127,100,139,1,2024-02-21 13:40:39,R_4kLkCrdRRNwOSQz,NA,NA,NA,NA,51.5646,0.0898,anonymous,EN,1,I pay attention,NA,1,29,5,5e0fece5f6191f70b66608ef,trust only,5,entom,imp,NA,NA,NA,NA,5,5
2024-02-21 13:38:33,2024-02-21 13:40:40,0,86.141.152.69,100,126,1,2024-02-21 13:40:40,R_2a0AMRkcdHvxUIN,NA,NA,NA,NA,51.813,0.6415,anonymous,EN,1,I pay attention,NA,1,52,2,639f294882a3797f77a3dd81,trust only,6,archeo,basic,NA,NA,NA,NA,4,4
2024-02-21 13:38:33,2024-02-21 13:40:40,0,86.141.152.69,100,126,1,2024-02-21 13:40:40,R_2a0AMRkcdHvxUIN,NA,NA,NA,NA,51.813,0.6415,anonymous,EN,1,I pay attention,NA,1,52,2,639f294882a3797f77a3dd81,trust only,6,entom,imp,NA,NA,NA,NA,4,4
2024-02-21 13:38:34,2024-02-21 13:40:55,0,148.252.156.138,100,140,1,2024-02-21 13:40:55,R_8H656wgsLd6O3v4,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN,1,I pay attention,NA,2,35,4,61472e1bd4b6a14aaecfa6ef,trust only,7,archeo,imp,NA,NA,NA,NA,4,3
2024-02-21 13:38:34,2024-02-21 13:40:55,0,148.252.156.138,100,140,1,2024-02-21 13:40:55,R_8H656wgsLd6O3v4,NA,NA,NA,NA,51.4964,-0.1224,anonymous,EN,1,I pay attention,NA,2,35,4,61472e1bd4b6a14aaecfa6ef,trust only,7,entom,basic,NA,NA,NA,NA,3,4
2024-02-21 13:38:34,2024-02-21 13:40:56,0,50.81.155.36,100,142,1,2024-02-21 13:40:57,R_6RgU81euOjMe6fV,NA,NA,NA,NA,41.6244,-93.6694,anonymous,EN,1,I pay attention,NA,2,51,3,5a78b8355292b800012284ca,all questions,8,archeo,imp,5,5,5,5,5,5
